head_yaw,head_thrust,head_slip,current_condition,loom_cur_distance,ms_now
0,0,0,2,20,103898
0,0,0,2,20,103915
0,0,0,2,20,103932
0,0,0,2,20,103948
0,0,0,2,20,103965
0,0,0,2,20,103982
0,0,0,2,20,103998
0,0,0,2,20,104015
0,0,0,2,20,104032
0,0,0,2,20,104051
0,0,0,2,20,104065
0,0,0,2,20,104082
0,0,0,2,20,104098
0,0,0,2,20,104115
0,0,0,2,20,104132
0,0,0,2,20,104148
0,0,0,2,20,104165
0,0,0,2,20,104182
0,0,0,2,20,104198
0,0,0,2,20,104215
0,0,0,2,20,104232
0,0,0,2,20,104248
0,0,0,2,20,104265
0,0,0,2,20,104282
0,0,0,2,20,104298
0,0,0,2,20,104315
0,0,0,2,20,104332
0,0,0,2,20,104348
0,0,0,2,20,104365
0,0,0,2,20,104382
0,0,0,2,20,104398
0,-4,0,2,20,104415
0,-5,0,2,20,104432
0,-4,0,2,20,104448
0,0,0,2,20,104465
0,0,0,2,20,104482
0,0,0,2,20,104498
0,0,0,2,20,104515
0,0,0,2,20,104532
0,0,0,2,20,104548
0,0,0,2,20,104565
0,0,0,2,20,104582
0,0,0,2,20,104598
0,0,0,2,20,104615
0,0,0,2,20,104632
0,0,0,2,20,104648
0,0,0,2,20,104665
0,0,0,2,20,104682
0,0,0,2,20,104698
0,0,0,2,20,104715
0,0,0,2,20,104732
0,0,0,2,20,104748
0,0,0,2,20,104765
0,0,0,2,20,104782
0,0,0,2,20,104798
0,0,0,2,20,104815
0,0,0,2,20,104832
0,0,0,2,20,104848
0,0,0,2,20,104865
0,0,0,2,20,104882
0,0,0,2,20,104898
0,0,0,2,20,104915
0,0,0,2,20,104932
0,0,0,2,20,104948
0,0,0,2,20,104965
0,0,0,2,20,104982
0,0,0,2,20,104998
0,0,0,2,20,105015
0,0,0,2,20,105032
0,0,0,2,20,105048
0,0,0,2,20,105065
0,0,0,2,20,105082
0,0,0,2,20,105098
0,0,0,2,20,105115
0,0,0,2,20,105132
0,0,0,2,20,105148
0,0,0,2,20,105165
0,0,0,2,20,105182
0,0,0,2,20,105198
0,0,0,2,20,105215
0,0,0,2,20,105232
0,0,0,2,20,105248
0,0,0,2,20,105265
0,0,0,2,20,105282
0,0,0,2,20,105298
0,0,0,2,20,105315
0,0,0,2,20,105332
0,0,0,2,20,105348
0,0,0,2,20,105365
0,0,0,2,20,105382
0,0,0,2,20,105398
0,0,0,2,20,105415
0,0,0,2,20,105432
0,0,0,2,20,105448
0,0,0,2,20,105465
0,0,0,2,20,105482
0,0,0,2,20,105498
0,0,0,2,20,105515
0,0,0,2,20,105532
0,0,0,2,20,105548
0,0,0,2,20,105565
0,0,0,2,20,105582
0,0,0,2,20,105598
0,0,0,2,20,105615
0,0,0,2,20,105632
0,0,0,2,20,105648
0,0,0,2,20,105665
0,0,0,2,20,105682
0,0,0,2,20,105698
0,0,0,2,19.583333,105715
0,0,0,2,19.166667,105732
0,0,0,2,18.75,105748
0,0,0,2,18.333333,105765
0,0,0,2,17.916667,105782
0,0,0,2,17.5,105798
0,0,0,2,17.083333,105815
0,0,0,2,16.666667,105832
0,0,0,2,16.25,105848
0,0,0,2,15.833333,105865
0,0,0,2,15.416667,105882
0,0,0,2,15,105898
0,0,0,2,14.583333,105915
0,0,0,2,14.166667,105932
0,0,0,2,13.75,105949
0,0,0,2,13.333333,105965
0,0,0,2,12.916667,105982
0,0,0,2,12.5,105998
0,0,0,2,12.083333,106015
0,0,0,2,11.666667,106032
0,0,0,2,11.25,106048
0,0,0,2,10.833333,106065
0,0,0,2,10.416667,106082
0,0,0,2,10,106098
0,0,0,2,9.583333,106115
0,0,0,2,9.166667,106132
0,0,0,2,8.75,106148
0,0,0,2,8.333333,106165
0,0,0,2,7.916667,106182
0,0,0,2,7.5,106199
0,0,0,2,7.083333,106215
0,0,0,2,6.666667,106232
0,0,0,2,6.25,106248
0,0,0,2,5.833333,106265
0,0,0,2,5.416667,106282
0,0,0,2,5,106298
0,0,0,2,4.583333,106315
0,0,0,2,4.166667,106332
0,0,0,2,3.75,106348
0,0,0,2,3.333333,106365
0,0,0,2,2.916667,106381
0,0,0,2,2.5,106398
0,0,0,2,2.083333,106415
0,0,0,2,1.666667,106431
0,0,0,2,1.25,106448
0,0,0,2,0.833333,106466
0,0,0,2,0.5774,106481
0,0,0,2,0.5774,106498
0,0,0,2,0.5774,106515
0,0,0,2,0.5774,106532
0,0,0,2,0.5774,106548
0,0,0,2,0.5774,106565
0,0,0,2,0.5774,106581
0,0,0,2,0.5774,106599
0,0,0,2,0.5774,106615
0,0,0,2,0.5774,106631
0,0,0,2,0.5774,106648
0,0,0,2,0.5774,106665
0,0,0,2,0.5774,106682
0,0,0,2,0.5774,106698
0,0,0,2,0.5774,106715
0,0,0,2,0.5774,106732
0,0,0,2,0.5774,106748
0,0,0,2,0.5774,106765
0,0,0,2,0.5774,106781
0,0,0,2,0.5774,106798
0,0,0,2,0.5774,106815
0,0,0,2,0.5774,106831
0,0,0,2,0.5774,106848
0,0,0,2,0.5774,106865
