head_yaw,head_thrust,head_slip,cur_wavelength,rotation_direction,ms_now
0,0,0,2,1,17151
0,0,0,2,1,17169
0,0,0,2,1,17185
0,0,0,2,1,17201
0,0,0,2,1,17218
0,0,0,2,1,17235
0,0,0,2,1,17252
0,0,0,2,1,17268
0,0,0,2,1,17285
0,0,0,2,1,17302
0,0,0,2,1,17319
0,0,0,2,1,17335
0,0,0,2,1,17351
0,0,0,2,1,17368
0,0,0,2,1,17385
0,0,0,2,1,17402
0,0,0,2,1,17419
0,0,0,2,1,17435
0,0,0,2,1,17452
0,0,0,2,1,17469
0,0,0,2,1,17485
0,0,0,2,1,17501
0,0,0,2,1,17518
0,0,0,2,1,17535
0,0,0,2,1,17552
0,0,0,2,1,17569
0,0,0,2,1,17585
0,0,0,2,1,17602
0,0,0,2,1,17619
0,0,0,2,1,17635
0,0,0,2,1,17652
0,0,0,2,1,17669
0,0,0,2,1,17685
0,0,0,2,1,17701
0,0,0,2,1,17719
0,0,0,2,1,17735
0,0,0,2,1,17752
0,0,0,2,1,17769
0,0,0,2,1,17785
0,0,0,2,1,17802
0,0,0,2,1,17818
0,0,0,2,1,17835
0,0,0,2,1,17852
0,0,0,2,1,17869
0,0,0,2,1,17886
0,0,0,2,1,17902
0,0,0,2,1,17919
0,0,0,2,1,17935
0,0,0,2,1,17952
0,0,0,0,1,17969
0,0,0,0,1,17984
0,0,0,0,1,18001
0,0,0,0,1,18019
0,0,0,0,1,18035
0,0,0,0,1,18052
0,0,0,0,1,18069
0,0,0,0,1,18085
0,0,0,0,1,18101
0,0,0,0,1,18118
0,0,0,0,1,18135
0,0,0,0,1,18152
0,0,0,0,1,18169
0,0,0,0,1,18185
0,0,0,0,1,18202
0,0,0,0,1,18218
0,0,0,0,1,18235
0,0,0,0,1,18252
0,0,0,0,1,18269
0,0,0,0,1,18285
0,0,0,0,1,18301
0,0,0,0,1,18318
0,0,0,0,1,18335
0,0,0,0,1,18351
0,0,0,0,1,18368
